City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Buraydah,SA,88.25,broken clouds,26.326,43.975,فندق راحة السلام
3,Coron,PH,88.14,overcast clouds,11.9986,120.2043,Coron Westown Resort
16,Sur,OM,88.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
28,Howard Springs,AU,86.83,clear sky,-12.497,131.047,buffalo beach hostel
29,Faanui,PF,81.55,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Payo,ID,83.08,broken clouds,-3.7508,103.6372,Mess keban agung
41,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
43,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
48,Atuona,PF,80.02,few clouds,-9.8,-139.0333,Villa Enata
61,Kavaratti,IN,82.15,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
67,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
69,Kavieng,PG,84.6,light rain,-2.5744,150.7967,Nusa Island Retreat
76,Honiara,SB,84.18,overcast clouds,-9.4333,159.95,Heritage Park Hotel
80,Butaritari,KI,83.39,light rain,3.0707,172.7902,Isles Sunset Lodge
91,Angostura,MX,80.01,clear sky,25.3667,-108.1833,Rancho Jose Maria Ang.
107,Arlit,NE,88.48,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
117,Bengkulu,ID,81.66,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
120,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
126,Hithadhoo,MV,84.29,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Port Antonio,JM,80.51,clear sky,18.18,-76.4612,The Trident Hotel
150,Kalmunai,LK,81.72,overcast clouds,7.4167,81.8167,VS Villa
158,Matara,LK,81.43,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
170,Nabire,ID,86.5,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
171,San Juan Del Sur,NI,82.74,broken clouds,11.2529,-85.8705,Nuestra Casa
187,Buala,SB,83.32,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
189,Pathankot,IN,81.66,overcast clouds,32.2833,75.65,Hotel Venice
193,Karratha,AU,80.22,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
195,Ternate,ID,82.98,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
198,Vaitape,PF,81.55,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
205,Ende,ID,84.54,few clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
211,Ransang,PH,85.86,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
222,Kloulklubed,PW,83.07,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
229,Sungairaya,ID,84.87,overcast clouds,0.7,108.9,Mess P.Milu
235,Ugoofaaru,MV,84.09,overcast clouds,5.6667,73,Ungoofaaru Inn
244,Manokwari,ID,83.32,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
251,Sulangan,PH,84.06,clear sky,11.1373,123.7228,Maia's Beach Resort
258,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
263,Alappuzha,IN,80.33,overcast clouds,9.49,76.3264,Panoramic Sea Resort
266,Meulaboh,ID,81.46,overcast clouds,4.1363,96.1285,Kost Pria
267,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
273,Lorengau,PG,86.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
