City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,54.9,58,4,8.21,clear sky
1,Buraydah,SA,26.326,43.975,88.25,19,67,9.4,broken clouds
2,Longyearbyen,SJ,78.2186,15.6401,24.64,58,20,10.36,few clouds
3,Coron,PH,11.9986,120.2043,88.14,60,96,3.44,overcast clouds
4,Qaanaaq,GL,77.484,-69.3632,22.55,81,100,3.53,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,74.55,87,22,5.99,few clouds
6,Huilong,CN,31.8111,121.655,67.03,88,100,13.0,heavy intensity rain
7,Saint-Francois,FR,46.4154,3.9054,47.64,81,0,4.61,clear sky
8,Kapaa,US,22.0752,-159.319,79.2,67,21,1.01,few clouds
9,Hanover,DE,52.3705,9.7332,52.02,94,98,6.62,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,49.48,66,7,2.21,clear sky
11,Cherskiy,RU,68.75,161.3,38.82,58,64,2.71,broken clouds
12,Isangel,VU,-19.55,169.2667,78.91,67,75,12.15,broken clouds
13,Pampas,PE,-12.4,-74.9,48.16,95,100,2.26,overcast clouds
14,Tiksi,RU,71.6872,128.8694,29.14,78,98,4.05,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,33.91,90,0,5.48,clear sky
16,Sur,OM,22.5667,59.5289,88.3,46,1,6.8,clear sky
17,Kodiak,US,57.79,-152.4072,48.61,75,85,6.91,overcast clouds
18,Coos Bay,US,43.3665,-124.2179,60.06,72,75,6.91,broken clouds
19,Touros,BR,-5.1989,-35.4608,76.1,81,2,12.03,clear sky
20,Tres Arroyos,AR,-38.3739,-60.2798,51.96,80,100,17.36,light rain
21,Grindavik,IS,63.8424,-22.4338,40.95,82,20,9.57,few clouds
22,Tahlequah,US,35.9154,-94.97,73.04,78,1,0.0,clear sky
23,Bahia Blanca,AR,-38.7196,-62.2724,51.24,88,100,9.4,overcast clouds
24,Hobart,AU,-42.8794,147.3294,60.26,72,20,1.99,few clouds
25,Hilo,US,19.7297,-155.09,90.28,85,90,5.75,overcast clouds
26,Khatanga,RU,71.9667,102.5,32.77,98,100,6.26,overcast clouds
27,Busselton,AU,-33.65,115.3333,54.05,59,77,12.95,broken clouds
28,Howard Springs,AU,-12.497,131.047,86.83,47,7,5.79,clear sky
29,Faanui,PF,-16.4833,-151.75,81.55,69,0,11.45,clear sky
30,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,72,75,25.19,broken clouds
31,Ushuaia,AR,-54.8,-68.3,37.06,93,40,1.14,scattered clouds
32,Upernavik,GL,72.7868,-56.1549,24.66,92,55,8.72,broken clouds
33,Bluff,NZ,-46.6,168.3333,49.8,72,0,12.41,clear sky
34,Payo,ID,-3.7508,103.6372,83.08,68,62,0.89,broken clouds
35,Paragominas,BR,-2.9667,-47.4833,73.18,87,52,3.29,broken clouds
36,Vangaindrano,MG,-23.35,47.6,65.95,86,100,2.62,light rain
37,Inirida,CO,3.8653,-67.9239,75.87,96,100,1.7,moderate rain
38,Salisbury,GB,51.0693,-1.7957,45.43,92,20,6.17,few clouds
39,Tasiilaq,GL,65.6145,-37.6368,27.19,92,100,3.27,overcast clouds
40,Anadyr,RU,64.75,177.4833,43.3,90,40,3.58,scattered clouds
41,Avarua,CK,-21.2078,-159.775,80.65,65,20,13.8,few clouds
42,Bredasdorp,ZA,-34.5322,20.0403,47.28,75,8,4.54,clear sky
43,Georgetown,MY,5.4112,100.3354,84.88,75,20,2.3,few clouds
44,Mahajanga,MG,-15.7167,46.3167,68.02,77,20,4.61,few clouds
