City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-05-18 00:53:38,-34.5322,20.0403,46.4,93,100,3.44
1,Miraflores,MX,2021-05-18 00:53:58,19.2167,-98.8083,66.2,55,75,11.5
2,Vostok,RU,2021-05-18 00:53:58,46.4856,135.8833,70.32,26,0,9.1
3,Narsaq,GL,2021-05-18 00:53:58,60.9167,-46.05,39.2,65,15,16.11
4,Bilibino,RU,2021-05-18 00:53:59,68.0546,166.4372,34.05,81,26,3.04
5,Palauig,PH,2021-05-18 00:53:59,15.435,119.9045,88.83,55,99,2.86
6,Pacific Grove,US,2021-05-18 00:54:00,36.6177,-121.9166,57.0,88,41,12.28
7,Ushuaia,AR,2021-05-18 00:48:47,-54.8,-68.3,50.0,57,75,14.97
8,Nicoya,CR,2021-05-18 00:54:00,10.1483,-85.452,82.4,69,75,5.75
9,Klaksvik,FO,2021-05-18 00:53:51,62.2266,-6.589,39.2,87,75,12.66
10,Nikolskoye,RU,2021-05-18 00:54:01,59.7035,30.7861,60.01,88,100,2.24
11,Vao,NC,2021-05-18 00:54:01,-22.6667,167.4833,72.57,68,66,18.37
12,Hambantota,LK,2021-05-18 00:54:02,6.1241,81.1185,75.2,100,20,10.6
13,Mataura,NZ,2021-05-18 00:53:48,-46.1927,168.8643,42.01,86,100,23.0
14,Kapaa,US,2021-05-18 00:53:39,22.0752,-159.319,80.6,61,20,16.11
15,Vaini,TO,2021-05-18 00:54:03,-21.2,-175.2,82.4,78,20,9.22
16,Vengerovo,RU,2021-05-18 00:54:03,55.6848,76.7471,63.32,68,5,11.63
17,Hilo,US,2021-05-18 00:52:26,19.7297,-155.09,84.2,48,1,9.22
18,Nanortalik,GL,2021-05-18 00:54:04,60.1432,-45.2371,37.22,77,40,3.8
19,Turayf,SA,2021-05-18 00:54:04,31.6725,38.6637,68.0,40,0,9.22
20,Port Alfred,ZA,2021-05-18 00:53:45,-33.5906,26.891,56.55,76,0,7.67
